seccion,distrito,rango_edad,sexo,nacionalidad,formacion,total
18,1,0 - 4,Hombre,Extranjero,Menores de 16,2
19,1,0 - 4,Mujer,Extranjero,Menores de 16,1
1,2,0 - 4,Hombre,Extranjero,Menores de 16,1
3,2,0 - 4,Mujer,Extranjero,Menores de 16,1
3,2,0 - 4,Hombre,Extranjero,Menores de 16,1
3,2,0 - 4,Mujer,Extranjero,Menores de 16,1
3,2,0 - 4,Hombre,Extranjero,Menores de 16,1
3,2,0 - 4,Mujer,Extranjero,Menores de 16,1
3,2,0 - 4,Hombre,Extranjero,Menores de 16,1
4,2,0 - 4,Hombre,Extranjero,Menores de 16,1
4,2,0 - 4,Mujer,Extranjero,Menores de 16,1
5,2,0 - 4,Mujer,Extranjero,Menores de 16,1
5,2,0 - 4,Hombre,Extranjero,Menores de 16,1
5,2,0 - 4,Mujer,Extranjero,Menores de 16,1
6,2,0 - 4,Mujer,Extranjero,Menores de 16,1
6,2,0 - 4,Mujer,Extranjero,Menores de 16,1
7,2,0 - 4,Hombre,Extranjero,Menores de 16,1
7,2,0 - 4,Hombre,Extranjero,Menores de 16,1
9,2,0 - 4,Hombre,Extranjero,Menores de 16,1
10,2,0 - 4,Mujer,Extranjero,Menores de 16,1
10,2,0 - 4,Hombre,Extranjero,Menores de 16,1
11,2,0 - 4,Mujer,Extranjero,Menores de 16,1
12,2,0 - 4,Hombre,Extranjero,Menores de 16,1
12,2,0 - 4,Mujer,Extranjero,Menores de 16,1
12,2,0 - 4,Mujer,Extranjero,Menores de 16,1
12,2,0 - 4,Hombre,Extranjero,Menores de 16,1
13,2,0 - 4,Mujer,Extranjero,Menores de 16,1
13,2,0 - 4,Hombre,Extranjero,Menores de 16,1
13,2,0 - 4,Mujer,Extranjero,Menores de 16,1
13,2,0 - 4,Mujer,Extranjero,Menores de 16,1
14,2,0 - 4,Hombre,Extranjero,Menores de 16,1
15,2,0 - 4,Hombre,Extranjero,Menores de 16,1
15,2,0 - 4,Mujer,Extranjero,Menores de 16,1
15,2,0 - 4,Mujer,Extranjero,Menores de 16,1
15,2,0 - 4,Mujer,Extranjero,Menores de 16,1
16,2,0 - 4,Mujer,Extranjero,Menores de 16,1
16,2,0 - 4,Mujer,Extranjero,Menores de 16,1
19,2,0 - 4,Mujer,Extranjero,Menores de 16,1
20,2,0 - 4,Hombre,Extranjero,Menores de 16,1
20,2,0 - 4,Mujer,Extranjero,Menores de 16,1
20,2,0 - 4,Mujer,Extranjero,Menores de 16,1
21,2,0 - 4,Mujer,Extranjero,Menores de 16,1
22,2,0 - 4,Mujer,Extranjero,Menores de 16,1
1,3,0 - 4,Hombre,Extranjero,Menores de 16,2
2,3,0 - 4,Mujer,Extranjero,Menores de 16,1
2,3,0 - 4,Hombre,Extranjero,Menores de 16,1
2,3,0 - 4,Hombre,Extranjero,Menores de 16,1
3,3,0 - 4,Mujer,Extranjero,Menores de 16,1
3,3,0 - 4,Mujer,Extranjero,Menores de 16,1
3,3,0 - 4,Mujer,Extranjero,Menores de 16,1
3,3,0 - 4,Mujer,Extranjero,Menores de 16,1
4,3,0 - 4,Hombre,Extranjero,Menores de 16,1
4,3,0 - 4,Hombre,Extranjero,Menores de 16,1
4,3,0 - 4,Hombre,Extranjero,Menores de 16,1
4,3,0 - 4,Hombre,Extranjero,Menores de 16,1
4,3,0 - 4,Mujer,Extranjero,Menores de 16,1
5,3,0 - 4,Hombre,Extranjero,Menores de 16,1
5,3,0 - 4,Hombre,Extranjero,Menores de 16,1
5,3,0 - 4,Hombre,Extranjero,Menores de 16,1
5,3,0 - 4,Hombre,Extranjero,Menores de 16,1
5,3,0 - 4,Hombre,Extranjero,Menores de 16,1
6,3,0 - 4,Hombre,Extranjero,Menores de 16,2
6,3,0 - 4,Hombre,Extranjero,Menores de 16,1
6,3,0 - 4,Hombre,Extranjero,Menores de 16,1
7,3,0 - 4,Hombre,Extranjero,Menores de 16,1
8,3,0 - 4,Mujer,Extranjero,Menores de 16,1
8,3,0 - 4,Hombre,Extranjero,Menores de 16,1
9,3,0 - 4,Mujer,Extranjero,Menores de 16,1
9,3,0 - 4,Hombre,Extranjero,Menores de 16,1
9,3,0 - 4,Hombre,Extranjero,Menores de 16,1
10,3,0 - 4,Mujer,Extranjero,Menores de 16,1
10,3,0 - 4,Mujer,Extranjero,Menores de 16,1
11,3,0 - 4,Hombre,Extranjero,Menores de 16,1
11,3,0 - 4,Hombre,Extranjero,Menores de 16,2
13,3,0 - 4,Hombre,Extranjero,Menores de 16,1
14,3,0 - 4,Mujer,Extranjero,Menores de 16,1
14,3,0 - 4,Hombre,Extranjero,Menores de 16,1
14,3,0 - 4,Hombre,Extranjero,Menores de 16,1
14,3,0 - 4,Mujer,Extranjero,Menores de 16,1
15,3,0 - 4,Mujer,Extranjero,Menores de 16,1
16,3,0 - 4,Mujer,Extranjero,Menores de 16,1
16,3,0 - 4,Mujer,Extranjero,Menores de 16,1
16,3,0 - 4,Mujer,Extranjero,Menores de 16,2
16,3,0 - 4,Hombre,Extranjero,Menores de 16,2
17,3,0 - 4,Hombre,Extranjero,Menores de 16,1
17,3,0 - 4,Hombre,Extranjero,Menores de 16,1
18,3,0 - 4,Mujer,Extranjero,Menores de 16,2
18,3,0 - 4,Hombre,Extranjero,Menores de 16,1
19,3,0 - 4,Mujer,Extranjero,Menores de 16,1
20,3,0 - 4,Hombre,Extranjero,Menores de 16,1
22,3,0 - 4,Hombre,Extranjero,Menores de 16,1
27,3,0 - 4,Hombre,Extranjero,Menores de 16,1
28,3,0 - 4,Hombre,Extranjero,Menores de 16,1
28,3,0 - 4,Hombre,Extranjero,Menores de 16,1
28,3,0 - 4,Hombre,Extranjero,Menores de 16,1
28,3,0 - 4,Hombre,Extranjero,Menores de 16,2
28,3,0 - 4,Mujer,Extranjero,Menores de 16,1
28,3,0 - 4,Hombre,Extranjero,Menores de 16,2
28,3,0 - 4,Mujer,Extranjero,Menores de 16,1
28,3,0 - 4,Mujer,Extranjero,Menores de 16,1
29,3,0 - 4,Hombre,Extranjero,Menores de 16,1
29,3,0 - 4,Mujer,Extranjero,Menores de 16,1
31,3,0 - 4,Mujer,Extranjero,Menores de 16,1
33,3,0 - 4,Mujer,Extranjero,Menores de 16,1
33,3,0 - 4,Hombre,Extranjero,Menores de 16,2
34,3,0 - 4,Mujer,Extranjero,Menores de 16,1
34,3,0 - 4,Mujer,Extranjero,Menores de 16,1
35,3,0 - 4,Mujer,Extranjero,Menores de 16,2
35,3,0 - 4,Hombre,Extranjero,Menores de 16,1
38,3,0 - 4,Hombre,Extranjero,Menores de 16,1
39,3,0 - 4,Mujer,Extranjero,Menores de 16,1
42,3,0 - 4,Hombre,Extranjero,Menores de 16,1
43,3,0 - 4,Hombre,Extranjero,Menores de 16,1
44,3,0 - 4,Hombre,Extranjero,Menores de 16,2
45,3,0 - 4,Mujer,Extranjero,Menores de 16,1
45,3,0 - 4,Mujer,Extranjero,Menores de 16,1
45,3,0 - 4,Mujer,Extranjero,Menores de 16,1
45,3,0 - 4,Mujer,Extranjero,Menores de 16,1
46,3,0 - 4,Hombre,Extranjero,Menores de 16,1
47,3,0 - 4,Mujer,Extranjero,Menores de 16,1
47,3,0 - 4,Mujer,Extranjero,Menores de 16,1
47,3,0 - 4,Hombre,Extranjero,Menores de 16,1
1,4,0 - 4,Hombre,Extranjero,Menores de 16,1
1,4,0 - 4,Mujer,Extranjero,Menores de 16,1
2,4,0 - 4,Hombre,Extranjero,Menores de 16,1
2,4,0 - 4,Hombre,Extranjero,Menores de 16,1
3,4,0 - 4,Mujer,Extranjero,Menores de 16,1
3,4,0 - 4,Hombre,Extranjero,Menores de 16,1
3,4,0 - 4,Mujer,Extranjero,Menores de 16,1
3,4,0 - 4,Hombre,Extranjero,Menores de 16,1
4,4,0 - 4,Mujer,Extranjero,Menores de 16,1
4,4,0 - 4,Hombre,Extranjero,Menores de 16,1
5,4,0 - 4,Mujer,Extranjero,Menores de 16,1
6,4,0 - 4,Mujer,Extranjero,Menores de 16,2
7,4,0 - 4,Mujer,Extranjero,Menores de 16,1
7,4,0 - 4,Mujer,Extranjero,Menores de 16,1
7,4,0 - 4,Hombre,Extranjero,Menores de 16,2
8,4,0 - 4,Mujer,Extranjero,Menores de 16,1
8,4,0 - 4,Hombre,Extranjero,Menores de 16,1
9,4,0 - 4,Hombre,Extranjero,Menores de 16,1
9,4,0 - 4,Hombre,Extranjero,Menores de 16,1
9,4,0 - 4,Mujer,Extranjero,Menores de 16,1
9,4,0 - 4,Mujer,Extranjero,Menores de 16,1
9,4,0 - 4,Mujer,Extranjero,Menores de 16,1
10,4,0 - 4,Hombre,Extranjero,Menores de 16,1
10,4,0 - 4,Mujer,Extranjero,Menores de 16,1
10,4,0 - 4,Hombre,Extranjero,Menores de 16,2
13,4,0 - 4,Hombre,Extranjero,Menores de 16,1
14,4,0 - 4,Mujer,Extranjero,Menores de 16,1
14,4,0 - 4,Hombre,Extranjero,Menores de 16,1
14,4,0 - 4,Mujer,Extranjero,Menores de 16,2
15,4,0 - 4,Hombre,Extranjero,Menores de 16,1
15,4,0 - 4,Mujer,Extranjero,Menores de 16,1
15,4,0 - 4,Mujer,Extranjero,Menores de 16,2
16,4,0 - 4,Mujer,Extranjero,Menores de 16,1
16,4,0 - 4,Hombre,Extranjero,Menores de 16,2
16,4,0 - 4,Mujer,Extranjero,Menores de 16,1
16,4,0 - 4,Mujer,Extranjero,Menores de 16,3
16,4,0 - 4,Mujer,Extranjero,Menores de 16,1
17,4,0 - 4,Mujer,Extranjero,Menores de 16,3
18,4,0 - 4,Hombre,Extranjero,Menores de 16,1
18,4,0 - 4,Mujer,Extranjero,Menores de 16,1
21,4,0 - 4,Hombre,Extranjero,Menores de 16,1
21,4,0 - 4,Hombre,Extranjero,Menores de 16,1
23,4,0 - 4,Hombre,Extranjero,Menores de 16,1
23,4,0 - 4,Hombre,Extranjero,Menores de 16,1
24,4,0 - 4,Hombre,Extranjero,Menores de 16,1
24,4,0 - 4,Mujer,Extranjero,Menores de 16,1
25,4,0 - 4,Hombre,Extranjero,Menores de 16,1
25,4,0 - 4,Hombre,Extranjero,Menores de 16,1
25,4,0 - 4,Mujer,Extranjero,Menores de 16,1
26,4,0 - 4,Mujer,Extranjero,Menores de 16,1
26,4,0 - 4,Hombre,Extranjero,Menores de 16,1
26,4,0 - 4,Mujer,Extranjero,Menores de 16,1
27,4,0 - 4,Hombre,Extranjero,Menores de 16,1
27,4,0 - 4,Mujer,Extranjero,Menores de 16,1
28,4,0 - 4,Mujer,Extranjero,Menores de 16,1
29,4,0 - 4,Mujer,Extranjero,Menores de 16,2
29,4,0 - 4,Hombre,Extranjero,Menores de 16,2
29,4,0 - 4,Mujer,Extranjero,Menores de 16,1
29,4,0 - 4,Hombre,Extranjero,Menores de 16,1
30,4,0 - 4,Hombre,Extranjero,Menores de 16,1
30,4,0 - 4,Mujer,Extranjero,Menores de 16,1
30,4,0 - 4,Hombre,Extranjero,Menores de 16,1
31,4,0 - 4,Hombre,Extranjero,Menores de 16,1
31,4,0 - 4,Hombre,Extranjero,Menores de 16,1
32,4,0 - 4,Hombre,Extranjero,Menores de 16,1
32,4,0 - 4,Hombre,Extranjero,Menores de 16,1
32,4,0 - 4,Mujer,Extranjero,Menores de 16,1
32,4,0 - 4,Hombre,Extranjero,Menores de 16,1
33,4,0 - 4,Mujer,Extranjero,Menores de 16,1
33,4,0 - 4,Hombre,Extranjero,Menores de 16,2
33,4,0 - 4,Hombre,Extranjero,Menores de 16,1
33,4,0 - 4,Mujer,Extranjero,Menores de 16,2
33,4,0 - 4,Hombre,Extranjero,Menores de 16,1
33,4,0 - 4,Mujer,Extranjero,Menores de 16,1
34,4,0 - 4,Mujer,Extranjero,Menores de 16,1
34,4,0 - 4,Mujer,Extranjero,Menores de 16,1
39,4,0 - 4,Hombre,Extranjero,Menores de 16,1
2,1,10 - 14,Mujer,Extranjero,Menores de 16,1
2,1,10 - 14,Mujer,Extranjero,Menores de 16,1
2,1,10 - 14,Mujer,Extranjero,Menores de 16,1
3,1,10 - 14,Hombre,Extranjero,Menores de 16,1
3,1,10 - 14,Mujer,Extranjero,Menores de 16,1
3,1,10 - 14,Hombre,Extranjero,Menores de 16,1
4,1,10 - 14,Mujer,Extranjero,Menores de 16,1
4,1,10 - 14,Hombre,Extranjero,Menores de 16,1
4,1,10 - 14,Hombre,Extranjero,Menores de 16,1
4,1,10 - 14,Hombre,Extranjero,Menores de 16,1
4,1,10 - 14,Mujer,Extranjero,Menores de 16,2
4,1,10 - 14,Hombre,Extranjero,Menores de 16,1
4,1,10 - 14,Hombre,Extranjero,Menores de 16,2
5,1,10 - 14,Mujer,Extranjero,Menores de 16,1
5,1,10 - 14,Mujer,Extranjero,Menores de 16,1
5,1,10 - 14,Mujer,Extranjero,Menores de 16,2
5,1,10 - 14,Mujer,Extranjero,Menores de 16,2
5,1,10 - 14,Hombre,Extranjero,Menores de 16,1
5,1,10 - 14,Hombre,Extranjero,Menores de 16,1
5,1,10 - 14,Mujer,Extranjero,Menores de 16,1
5,1,10 - 14,Mujer,Extranjero,Menores de 16,1
5,1,10 - 14,Hombre,Extranjero,Menores de 16,1
6,1,10 - 14,Hombre,Extranjero,Menores de 16,2
6,1,10 - 14,Mujer,Extranjero,Menores de 16,4
6,1,10 - 14,Mujer,Extranjero,Menores de 16,2
6,1,10 - 14,Mujer,Extranjero,Menores de 16,1
6,1,10 - 14,Mujer,Extranjero,Menores de 16,1
6,1,10 - 14,Mujer,Extranjero,Menores de 16,1
6,1,10 - 14,Hombre,Extranjero,Menores de 16,1
7,1,10 - 14,Mujer,Extranjero,Menores de 16,1
7,1,10 - 14,Mujer,Extranjero,Menores de 16,1
7,1,10 - 14,Hombre,Extranjero,Menores de 16,2
7,1,10 - 14,Mujer,Extranjero,Menores de 16,1
8,1,10 - 14,Mujer,Extranjero,Menores de 16,1
8,1,10 - 14,Mujer,Extranjero,Menores de 16,1
8,1,10 - 14,Mujer,Extranjero,Menores de 16,2
8,1,10 - 14,Hombre,Extranjero,Menores de 16,1
8,1,10 - 14,Hombre,Extranjero,Menores de 16,2
8,1,10 - 14,Hombre,Extranjero,Menores de 16,1
9,1,10 - 14,Mujer,Extranjero,Menores de 16,1
9,1,10 - 14,Hombre,Extranjero,Menores de 16,1
9,1,10 - 14,Hombre,Extranjero,Menores de 16,1
9,1,10 - 14,Hombre,Extranjero,Menores de 16,1
10,1,10 - 14,Mujer,Extranjero,Menores de 16,1
10,1,10 - 14,Mujer,Extranjero,Menores de 16,1
10,1,10 - 14,Mujer,Extranjero,Menores de 16,1
10,1,10 - 14,Hombre,Extranjero,Menores de 16,1
11,1,10 - 14,Mujer,Extranjero,Menores de 16,1
11,1,10 - 14,Hombre,Extranjero,Menores de 16,3
11,1,10 - 14,Mujer,Extranjero,Menores de 16,1
11,1,10 - 14,Mujer,Extranjero,Menores de 16,1
11,1,10 - 14,Mujer,Extranjero,Menores de 16,1
11,1,10 - 14,Hombre,Extranjero,Menores de 16,1
11,1,10 - 14,Mujer,Extranjero,Menores de 16,1
11,1,10 - 14,Hombre,Extranjero,Menores de 16,1
11,1,10 - 14,Mujer,Extranjero,Menores de 16,1
12,1,10 - 14,Hombre,Extranjero,Menores de 16,1
12,1,10 - 14,Mujer,Extranjero,Menores de 16,1
12,1,10 - 14,Hombre,Extranjero,Menores de 16,3
12,1,10 - 14,Mujer,Extranjero,Menores de 16,1
12,1,10 - 14,Hombre,Extranjero,Menores de 16,2
13,1,10 - 14,Hombre,Extranjero,Menores de 16,2
13,1,10 - 14,Mujer,Extranjero,Menores de 16,1
13,1,10 - 14,Mujer,Extranjero,Menores de 16,2
13,1,10 - 14,Hombre,Extranjero,Menores de 16,1
13,1,10 - 14,Mujer,Extranjero,Menores de 16,2
14,1,10 - 14,Hombre,Extranjero,Menores de 16,1
14,1,10 - 14,Hombre,Extranjero,Menores de 16,1
14,1,10 - 14,Mujer,Extranjero,Menores de 16,2
14,1,10 - 14,Hombre,Extranjero,Menores de 16,1
14,1,10 - 14,Hombre,Extranjero,Menores de 16,1
14,1,10 - 14,Hombre,Extranjero,Menores de 16,1
14,1,10 - 14,Mujer,Extranjero,Menores de 16,1
14,1,10 - 14,Mujer,Extranjero,Menores de 16,1
14,1,10 - 14,Mujer,Extranjero,Menores de 16,1
15,1,10 - 14,Mujer,Extranjero,Menores de 16,1
15,1,10 - 14,Mujer,Extranjero,Menores de 16,1
16,1,10 - 14,Mujer,Extranjero,Menores de 16,1
16,1,10 - 14,Mujer,Extranjero,Menores de 16,1
16,1,10 - 14,Mujer,Extranjero,Menores de 16,1
16,1,10 - 14,Hombre,Extranjero,Menores de 16,1
16,1,10 - 14,Hombre,Extranjero,Menores de 16,2
17,1,10 - 14,Hombre,Extranjero,Menores de 16,1
17,1,10 - 14,Mujer,Extranjero,Menores de 16,1
17,1,10 - 14,Mujer,Extranjero,Menores de 16,1
17,1,10 - 14,Mujer,Extranjero,Menores de 16,1
18,1,10 - 14,Hombre,Extranjero,Menores de 16,1
18,1,10 - 14,Mujer,Extranjero,Menores de 16,1
18,1,10 - 14,Mujer,Extranjero,Menores de 16,2
18,1,10 - 14,Mujer,Extranjero,Menores de 16,1
18,1,10 - 14,Hombre,Extranjero,Menores de 16,1
18,1,10 - 14,Hombre,Extranjero,Menores de 16,1
18,1,10 - 14,Hombre,Extranjero,Menores de 16,1
18,1,10 - 14,Hombre,Extranjero,Menores de 16,1
18,1,10 - 14,Mujer,Extranjero,Menores de 16,1
18,1,10 - 14,Hombre,Extranjero,Menores de 16,1
19,1,10 - 14,Hombre,Extranjero,Menores de 16,1
19,1,10 - 14,Mujer,Extranjero,Menores de 16,1
19,1,10 - 14,Mujer,Extranjero,Menores de 16,2
19,1,10 - 14,Mujer,Extranjero,Menores de 16,1
19,1,10 - 14,Hombre,Extranjero,Menores de 16,1
19,1,10 - 14,Hombre,Extranjero,Menores de 16,1
1,2,10 - 14,Hombre,Extranjero,Menores de 16,1
1,2,10 - 14,Hombre,Extranjero,Menores de 16,1
2,2,10 - 14,Mujer,Extranjero,Menores de 16,1
2,2,10 - 14,Hombre,Extranjero,Menores de 16,1
2,2,10 - 14,Hombre,Extranjero,Menores de 16,1
2,2,10 - 14,Mujer,Extranjero,Menores de 16,1
2,2,10 - 14,Hombre,Extranjero,Menores de 16,1
3,2,10 - 14,Mujer,Extranjero,Menores de 16,1
3,2,10 - 14,Hombre,Extranjero,Menores de 16,1
3,2,10 - 14,Hombre,Extranjero,Menores de 16,2
3,2,10 - 14,Hombre,Extranjero,Menores de 16,1
3,2,10 - 14,Hombre,Extranjero,Menores de 16,1
3,2,10 - 14,Mujer,Extranjero,Menores de 16,1
3,2,10 - 14,Mujer,Extranjero,Menores de 16,1
3,2,10 - 14,Hombre,Extranjero,Menores de 16,1
4,2,10 - 14,Mujer,Extranjero,Menores de 16,2
4,2,10 - 14,Mujer,Extranjero,Menores de 16,1
4,2,10 - 14,Mujer,Extranjero,Menores de 16,1
4,2,10 - 14,Mujer,Extranjero,Menores de 16,1
4,2,10 - 14,Hombre,Extranjero,Menores de 16,2
4,2,10 - 14,Hombre,Extranjero,Menores de 16,1
4,2,10 - 14,Hombre,Extranjero,Menores de 16,1
4,2,10 - 14,Hombre,Extranjero,Menores de 16,1
5,2,10 - 14,Hombre,Extranjero,Menores de 16,1
5,2,10 - 14,Hombre,Extranjero,Menores de 16,2
5,2,10 - 14,Hombre,Extranjero,Menores de 16,2
5,2,10 - 14,Mujer,Extranjero,Menores de 16,1
5,2,10 - 14,Mujer,Extranjero,Menores de 16,1
5,2,10 - 14,Hombre,Extranjero,Menores de 16,1
6,2,10 - 14,Mujer,Extranjero,Menores de 16,1
6,2,10 - 14,Mujer,Extranjero,Menores de 16,1
6,2,10 - 14,Hombre,Extranjero,Menores de 16,1
6,2,10 - 14,Hombre,Extranjero,Menores de 16,1
6,2,10 - 14,Hombre,Extranjero,Menores de 16,1
6,2,10 - 14,Mujer,Extranjero,Menores de 16,1
6,2,10 - 14,Hombre,Extranjero,Menores de 16,2
6,2,10 - 14,Mujer,Extranjero,Menores de 16,2
6,2,10 - 14,Mujer,Extranjero,Menores de 16,1
7,2,10 - 14,Hombre,Extranjero,Menores de 16,1
7,2,10 - 14,Mujer,Extranjero,Menores de 16,1
7,2,10 - 14,Mujer,Extranjero,Menores de 16,1
7,2,10 - 14,Hombre,Extranjero,Menores de 16,2
7,2,10 - 14,Mujer,Extranjero,Menores de 16,1
7,2,10 - 14,Hombre,Extranjero,Menores de 16,1
7,2,10 - 14,Mujer,Extranjero,Menores de 16,1
7,2,10 - 14,Hombre,Extranjero,Menores de 16,1
7,2,10 - 14,Mujer,Extranjero,Menores de 16,1
7,2,10 - 14,Hombre,Extranjero,Menores de 16,1
7,2,10 - 14,Hombre,Extranjero,Menores de 16,1
9,2,10 - 14,Hombre,Extranjero,Menores de 16,1
9,2,10 - 14,Mujer,Extranjero,Menores de 16,1
9,2,10 - 14,Hombre,Extranjero,Menores de 16,1
9,2,10 - 14,Mujer,Extranjero,Menores de 16,1
10,2,10 - 14,Mujer,Extranjero,Menores de 16,1
10,2,10 - 14,Mujer,Extranjero,Menores de 16,2
10,2,10 - 14,Mujer,Extranjero,Menores de 16,1
10,2,10 - 14,Hombre,Extranjero,Menores de 16,1
10,2,10 - 14,Mujer,Extranjero,Menores de 16,1
10,2,10 - 14,Mujer,Extranjero,Menores de 16,1
10,2,10 - 14,Hombre,Extranjero,Menores de 16,1
10,2,10 - 14,Mujer,Extranjero,Menores de 16,1
10,2,10 - 14,Mujer,Extranjero,Menores de 16,1
10,2,10 - 14,Hombre,Extranjero,Menores de 16,2
11,2,10 - 14,Mujer,Extranjero,Menores de 16,1
11,2,10 - 14,Hombre,Extranjero,Menores de 16,1
11,2,10 - 14,Hombre,Extranjero,Menores de 16,1
12,2,10 - 14,Mujer,Extranjero,Menores de 16,1
12,2,10 - 14,Hombre,Extranjero,Menores de 16,1
12,2,10 - 14,Mujer,Extranjero,Menores de 16,1
12,2,10 - 14,Mujer,Extranjero,Menores de 16,1
12,2,10 - 14,Hombre,Extranjero,Menores de 16,1
12,2,10 - 14,Hombre,Extranjero,Menores de 16,1
13,2,10 - 14,Hombre,Extranjero,Menores de 16,2
13,2,10 - 14,Hombre,Extranjero,Menores de 16,1
13,2,10 - 14,Hombre,Extranjero,Menores de 16,1
13,2,10 - 14,Mujer,Extranjero,Menores de 16,1
13,2,10 - 14,Mujer,Extranjero,Menores de 16,1
13,2,10 - 14,Mujer,Extranjero,Menores de 16,1
13,2,10 - 14,Mujer,Extranjero,Menores de 16,2
13,2,10 - 14,Mujer,Extranjero,Menores de 16,1
13,2,10 - 14,Hombre,Extranjero,Menores de 16,1
13,2,10 - 14,Mujer,Extranjero,Menores de 16,1
14,2,10 - 14,Mujer,Extranjero,Menores de 16,1
14,2,10 - 14,Mujer,Extranjero,Menores de 16,2
14,2,10 - 14,Hombre,Extranjero,Menores de 16,2
14,2,10 - 14,Hombre,Extranjero,Menores de 16,1
15,2,10 - 14,Mujer,Extranjero,Menores de 16,1
15,2,10 - 14,Mujer,Extranjero,Menores de 16,1
16,2,10 - 14,Hombre,Extranjero,Menores de 16,1
16,2,10 - 14,Mujer,Extranjero,Menores de 16,1
16,2,10 - 14,Mujer,Extranjero,Menores de 16,1
16,2,10 - 14,Mujer,Extranjero,Menores de 16,1
16,2,10 - 14,Mujer,Extranjero,Menores de 16,2
16,2,10 - 14,Hombre,Extranjero,Menores de 16,2
16,2,10 - 14,Hombre,Extranjero,Menores de 16,1
16,2,10 - 14,Hombre,Extranjero,Menores de 16,1
16,2,10 - 14,Hombre,Extranjero,Menores de 16,1
18,2,10 - 14,Hombre,Extranjero,Menores de 16,1
18,2,10 - 14,Mujer,Extranjero,Menores de 16,1
19,2,10 - 14,Hombre,Extranjero,Menores de 16,3
19,2,10 - 14,Mujer,Extranjero,Menores de 16,1
19,2,10 - 14,Hombre,Extranjero,Menores de 16,1
19,2,10 - 14,Hombre,Extranjero,Menores de 16,1
19,2,10 - 14,Mujer,Extranjero,Menores de 16,1
20,2,10 - 14,Mujer,Extranjero,Menores de 16,1
20,2,10 - 14,Hombre,Extranjero,Menores de 16,1
20,2,10 - 14,Hombre,Extranjero,Menores de 16,1
20,2,10 - 14,Mujer,Extranjero,Menores de 16,1
20,2,10 - 14,Mujer,Extranjero,Menores de 16,1
20,2,10 - 14,Mujer,Extranjero,Menores de 16,1
20,2,10 - 14,Hombre,Extranjero,Menores de 16,1
20,2,10 - 14,Hombre,Extranjero,Menores de 16,1
21,2,10 - 14,Hombre,Extranjero,Menores de 16,1
21,2,10 - 14,Hombre,Extranjero,Menores de 16,1
21,2,10 - 14,Hombre,Extranjero,Menores de 16,1
