"term_id";"parent_id";"term_name_ES";"term_name_CA";"term_description_ES";"term_description_CA"
14;;"14. Vida submarina";"14. Vida submarina";"Conservar y utilizar sosteniblemente los océanos, los mares y los recursos marinos para el desarrollo sostenible";"Conservar i utilitzar de forma sostenible els oceans, els mars i els recursos marins per al desenvolupament sostenible"
15;;"15. Vida de ecosistemas terrestres";"15. Vida terrestre";"Proteger, restablecer y promover el uso sostenible de los ecosistemas terrestres, gestionar sosteniblemente los bosques, luchar contra la desertificación, detener e invertir la degradación de las tierras y detener la pérdida de biodiversidad";"Protegir, restaurar i promoure l’ús sostenible dels ecosistemes terrestres, gestionar els boscos de manera sostenible, combatre la desertificació, aturar i revertir la degradació del sòl, i aturar la pèrdua de la biodiversitat"
16;;"16. Paz, justicia e instituciones sólidas";"16. Pau, justícia i institucions sòlides";"Promover sociedades pacíficas e inclusivas para el desarrollo sostenible, facilitar el acceso a la justicia para todos y construir a todos los niveles instituciones eficaces e inclusivas que rindan cuentas";"Promoure societats pacífiques i inclusives per tal d’aconseguir un desenvolupament sostenible, proporcionar accés a la justícia per a totes les persones i desenvolupar institucions eficaces, responsables i inclusives a tots els nivells"
17;;"17. Alianzas para lograr los objetivos";"17. Aliança pels objectius";"Fortalecer los medios de implementación y revitalizar la Alianza Mundial para el Desarrollo Sostenible";"Enfortir els mitjans per a implementar i revitalitzar l’Aliança Mundial per al Desenvolupament Sostenible "
1.1;1;"1.1. De aquí a 2030, erradicar para todas las personas y en todo el mundo la pobreza extrema (actualmente se considera que sufren pobreza extrema las personas que viven con menos de 1,25 dólares de los Estados Unidos al día)";"1.1. Per a 2030, erradicar per a totes les persones del món la pobresa extrema, actualment mesurada per un ingrés per persona inferior a 1,25 dòlars EUA al dia.";;
1.2;1;"1.2. De aquí a 2030, reducir al menos a la mitad la proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales";"1.2. Per a 2030, reduir com a mínim a la meitat la proporció d’homes, dones, nens i nenes de totes les edats que viuen en la pobresa en totes les seves dimensions d’acord amb les definicions nacionals.";;
1.3;1;"1.3. Implementar a nivel nacional sistemas y medidas apropiados de protección social para todos, incluidos niveles mínimos, y, de aquí a 2030, lograr una amplia cobertura de las personas pobres y vulnerables";"1.3. Posar en pràctica en l’àmbit nacional mesures i sistemes apropiats de protecció social per a totes les persones, nivells mínims inclosos, i, per a 2030, aconseguir una àmplia cobertura per a les persones pobres i vulnerables.";;
1.4;1;"1.4. De aquí a 2030, garantizar que todos los hombres y mujeres, en particular los pobres y los vulnerables, tengan los mismos derechos a los recursos económicos y acceso a los servicios básicos, la propiedad y el control de la tierra y otros bienes, la herencia, los recursos naturales, las nuevas tecnologías apropiadas y los servicios financieros, incluida la microfinanciación";"1.4. Per a 2030, garantir que tots els homes i dones, en particular les persones pobres i vulnerables, tinguin els mateixos drets als recursos econòmics, així com accés als serveis bàsics, propietat i control de les terres i altres béns, herència, recursos naturals, noves tecnologies apropiades i serveis financers, incloses les microfinances.";;
1.5;1;"1.5. De aquí a 2030, fomentar la resiliencia de los pobres y las personas que se encuentran en situaciones de vulnerabilidad y reducir su exposición y vulnerabilidad a los fenómenos extremos relacionados con el clima y otras perturbaciones y desastres económicos, sociales y ambientales";"1.5. Per a 2030, fomentar la resiliència de les persones pobres i aquelles que es troben en situacions vulnerables, i reduir-ne l’exposició i vulnerabilitat als fenòmens extrems relacionats amb el clima, així com altres crisis i desastres econòmics, socials i ambientals.";;
"1.a";1;"1.a. Garantizar una movilización significativa de recursos procedentes de diversas fuentes, incluso mediante la mejora de la cooperación para el desarrollo, a fin de proporcionar medios suficientes y previsibles a los países en desarrollo, en particular los países menos adelantados, para que implementen programas y políticas encaminados a poner fin a la pobreza en todas sus dimensiones";"1.a. Garantir una mobilització important de recursos procedents de diverses fonts, fins i tot mitjançant la millora de la cooperació per al desenvolupament, a fi de proporcionar mitjans suficients i previsibles als països en desenvolupament, en particular els països menys avançats, per tal de posar en pràctica programes i polítiques encaminats a l’erradicació de la pobresa en totes les seves dimensions.";;
"1.b";1;"1.b. Crear marcos normativos sólidos en los planos nacional, regional e internacional, sobre la base de estrategias de desarrollo en favor de los pobres que tengan en cuenta las cuestiones de género, a fin de apoyar la inversión acelerada en medidas para erradicar la pobreza";"1.b. Crear marcs normatius sòlids en els plans nacional, regional i internacional, sobre la base d’estratègies de desenvolupament que tinguin en compte les qüestions de gènere i s’orientin en favor de les persones pobres, per tal d’impulsar la inversió accelerada en mesures d’erradicació de la pobresa.";;
"1.1.1";1.1;"Proporción de la población que vive por debajo del umbral internacional de pobreza, desglosada por sexo, edad, situación laboral y ubicación geográfica (urbana o rural)";;;
"1.2.1";1.2;"Proporción de la población que vive por debajo del umbral nacional de pobreza, desglosada por sexo y edad";;;
"1.2.2";1.2;"Proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza, en todas sus dimensiones, con arreglo a las definiciones nacionales";;;
"1.3.1";1.3;"Proporción de la población cubierta por sistemas o niveles mínimos de protección social, desglosada por sexo, distinguiendo entre los niños, los desempleados, los ancianos, las personas con discapacidad, las mujeres embarazadas, los recién nacidos, las víctimas de accidentes de trabajo, los pobres y los vulnerables";;;
"1.4.1";1.4;"Proporción de la población que vive en hogares con acceso a los servicios básicos";;;
"1.4.2";1.4;"Proporción del total de la población adulta con derechos seguros de tenencia de la tierra: a) que posee documentación reconocida legalmente al respecto y b) considera seguros sus derechos, desglosada por sexo y tipo de tenencia";;;
"1.5.1";1.5;" Número de personas muertas, desaparecidas y afectadas directamente atribuido a desastres por cada 100.000 habitantes";;;
"1.5.2";1.5;"Pérdidas económicas directas atribuidas a los desastres en relación con el producto interno bruto (PIB) mundial";;;
"1.5.3";1.5;"Número de países que adoptan y aplican estrategias nacionales de reducción del riesgo de desastres en consonancia con el Marco de Sendái para la Reducción del Riesgo de Desastres 2015‑2030";;;
"1.5.4";1.5;" Proporción de gobiernos locales que adoptan y aplican estrategias locales de reducción del riesgo de desastres en consonancia con las estrategias nacionales de reducción del riesgo de desastres";;;
"1.a.1";"1.a";" Proporción de los recursos generados a nivel interno que el gobierno asigna directamente a programas de reducción de la pobreza";;;
"1.a.2";"1.a";" Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)";;;
"1.a.3";"1.a";" Suma del total de las subvenciones y asignaciones no generadoras de deuda dedicadas directamente a programas de reducción de la pobreza en proporción al PIB";;;
"1.b.1 ";"1.b";"Proporción de los gastos públicos periódicos y de capital que se dedica a sectores que benefician de forma desproporcionada a las mujeres, los pobres y los grupos vulnerables";;;
2.1;2;"2.1. De aquí a 2030, poner fin al hambre y asegurar el acceso de todas las personas, en particular los pobres y las personas en situaciones de vulnerabilidad, incluidos los niños menores de 1 año, a una alimentación sana, nutritiva y suficiente durante todo el año";"2.1. Per a 2030, posar fi a la fam i assegurar l’accés de totes les persones, en particular de les persones pobres i en situacions vulnerables, inclosos els lactants, a una alimentació sana, nutritiva i suficient durant tot l’any.";;
"2.2 ";2;"2.2. De aquí a 2030, poner fin a todas las formas de malnutrición, incluso logrando, a más tardar en 2025, las metas convenidas internacionalmente sobre el retraso del crecimiento y la emaciación de los niños menores de 5 años, y abordar las necesidades de nutrición de las adolescentes, las mujeres embarazadas y lactantes y las personas de edad";"2.2. Per a 2030, posar fi a totes les formes de malnutrició, incloent-hi aconseguir, a tot tardar el 2025, les fites convingudes internacionalment sobre el retard del creixement i l’emaciació dels menors de 5 anys, i abordar les necessitats de nutrició de les adolescents, dones embarassades i lactants, així com de les persones grans.";;
"2.3 ";2;"2.3. De aquí a 2030, duplicar la productividad agrícola y los ingresos de los productores de alimentos en pequeña escala, en particular las mujeres, los pueblos indígenas, los agricultores familiares, los ganaderos y los pescadores, entre otras cosas mediante un acceso seguro y equitativo a las tierras, a otros recursos e insumos de producción y a los conocimientos, los servicios financieros, los mercados y las oportunidades para añadir valor y obtener empleos no agrícolas";"2.3. Per a 2030, duplicar la productivitat agrícola i els ingressos dels productors/es d’aliments de petita escala, en particular les dones, els pobles indígenes, agricultors/es familiars, pastors/es i pescadors/es, a través, entre d’altres, d’un accés segur i equitatiu a les terres, a altres recursos de producció i inputs, coneixements, serveis financers, mercats i oportunitats per a la generació de valor afegit i treball no agrícola.";;
"2.4 ";2;"2.4. De aquí a 2030, asegurar la sostenibilidad de los sistemas de producción de alimentos y aplicar prácticas agrícolas resilientes que aumenten la productividad y la producción, contribuyan al mantenimiento de los ecosistemas, fortalezcan la capacidad de adaptación al cambio climático, los fenómenos meteorológicos extremos, las sequías, las inundaciones y otros desastres, y mejoren progresivamente la calidad de la tierra y el suelo";"2.4. Per a 2030, assegurar la sostenibilitat dels sistemes de producció d’aliments i aplicar pràctiques agrícoles resilients que augmentin la productivitat i la producció, contribueixin al manteniment dels ecosistemes, enforteixin la capacitat d’adaptació al canvi climàtic, fenòmens meteorològics extrems, sequeres, inundacions i altres desastres, i millorin progressivament la qualitat del sòl i la terra.";;
"2.5 ";2;"2.5. De aquí a 2020, mantener la diversidad genética de las semillas, las plantas cultivadas y los animales de granja y domesticados y sus correspondientes especies silvestres, entre otras cosas mediante una buena gestión y diversificación de los bancos de semillas y plantas a nivel nacional, regional e internacional, y promover el acceso a los beneficios que se deriven de la utilización de los recursos genéticos y los conocimientos tradicionales conexos y su distribución justa y equitativa, según lo convenido internacionalmente";"2.5. Per a 2020, mantenir la diversitat genètica de les llavors, cultius i animals de granja i domesticats així com les espècies silvestres connexes, a través, entre d’altres, d’una bona gestió i diversificació dels bancs de llavors i plantes a escala nacional, regional i internacional, i promoure l’accés als beneficis que es derivin de la utilització dels recursos genètics i coneixements tradicionals, així com la distribució justa i equitativa d’aquests, com s’ha convingut internacionalment.";;
"2.a ";2;"2.a. Aumentar, incluso mediante una mayor cooperación internacional, las inversiones en infraestructura rural, investigación y servicios de extensión agrícola, desarrollo tecnológico y bancos de genes de plantas y ganado a fin de mejorar la capacidad de producción agropecuaria en los países en desarrollo, particularmente en los países menos adelantados";"2.a. Augmentar les inversions, fins i tot mitjançant una cooperació internacional més àmplia, en infraestructura rural, investigació agrícola i serveis d’extensió, així com en desenvolupament tecnològic i bancs de gens de plantes i bestiar, a fi de millorar la capacitat de producció agrícola als països en desenvolupament, en particular als països menys avançats.";;
"2.b ";2;"2.b. Corregir y prevenir las restricciones y distorsiones comerciales en los mercados agropecuarios mundiales, incluso mediante la eliminación paralela de todas las formas de subvención a las exportaciones agrícolas y todas las medidas de exportación con efectos equivalentes, de conformidad con el mandato de la Ronda de Doha para el Desarrollo";"2.b. Corregir i prevenir les restriccions i distorsions comercials dels mercats agropecuaris mundials, a través, entre d’altres, de l’eliminació paral·lela de totes les formes de subvencions a les exportacions agrícoles i totes les mesures d’exportació d’efectes equivalents, de conformitat amb el mandat de la Ronda de Doha per al Desenvolupament.";;
"2.c";2;"2.c. Adoptar medidas para asegurar el buen funcionamiento de los mercados de productos básicos alimentarios y sus derivados y facilitar el acceso oportuno a la información sobre los mercados, incluso sobre las reservas de alimentos, a fin de ayudar a limitar la extrema volatilidad de los precios de los alimentos";"2.c. Adoptar mesures per tal d’assegurar el bon funcionament dels mercats de productes bàsics alimentaris i derivats d’aquests, i facilitar l’accés adequat a informació sobre els mercats, en particular sobre les reserves d’aliments, a fi d’ajudar a limitar l’extrema volatilitat dels preus dels aliments.";;
"2.1.1";2.1;" Prevalencia de la subalimentación";;;
"2.1.2 ";2.1;"Prevalencia de la inseguridad alimentaria moderada o grave entre la población, según la escala de experiencia de inseguridad alimentaria";;;
"2.2.1";2.2;"Prevalencia del retraso del crecimiento (estatura para la edad, desviación típica < -2 de la mediana de los patrones de crecimiento infantil de la Organización Mundial de la Salud (OMS)) entre los niños menores de 5 años";;;
"2.2.2";2.2;"Prevalencia de la malnutrición (peso para la estatura, desviación típica > +2 o < -2 de la mediana de los patrones de crecimiento infantil de la OMS) entre los niños menores de 5 años, desglosada por tipo (emaciación y sobrepeso)";;;
"2.3.1 ";2.3;"Volumen de producción por unidad de trabajo desglosado por tamaño y tipo de explotación (agropecuaria/ganadera/forestal)";;;
"2.3.2";2.3;"Media de ingresos de los productores de alimentos en pequeña escala, desglosada por sexo y condición indígena";;;
"2.4.1 ";2.4;"Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible";;;
"2.5.1 ";2.5;"Número de recursos genéticos vegetales y animales para la alimentación y la agricultura preservados en instalaciones de conservación a medio y largo plazo";;;
"2.5.2 ";2.5;"Proporción de razas y variedades locales consideradas en riesgo de extinción, sin riesgo o con un nivel de riesgo desconocido";;;
"2.a.1 ";"2.a";"Índice de orientación agrícola para el gasto público";;;
"2.a.2 ";"2.a";"Total de corrientes oficiales de recursos (asistencia oficial para el desarrollo más otras corrientes oficiales) destinado al sector agrícola";;;
"2.b.1 ";"2.b";"Subsidios a la exportación de productos agropecuarios";;;
"2.c.1 ";"2.c";"Indicador de anomalías en los precios de los alimentos";;;
"3.1 ";3;"3.1. De aquí a 2030, reducir la tasa mundial de mortalidad materna a menos de 70 por cada 100.000 nacidos vivos";"3.1. Per a 2030, reduir la taxa mundial de mortalitat materna a menys de 70 per cada 100.000 nascuts vius.";;
"3.2 ";3;"3.2. De aquí a 2030, poner fin a las muertes evitables de recién nacidos y de niños menores de 5 años, logrando que todos los países intenten reducir la mortalidad neonatal al menos a 12 por cada 1.000 nacidos vivos y la mortalidad de los niños menores de 5 años al menos a 25 por cada 1.000 nacidos vivos";"3.2. Per a 2030, posar fi a les morts evitables de nounats i dels menors de 5 anys, aconseguint que tots els països intentin reduir la mortalitat neonatal almenys fins a 12 per cada 1.000 nascuts vius, i la mortalitat dels menors de 5 anys almenys fins a 25 per cada 1.000 nascuts vius.";;
"3.3 ";3;"3.3. De aquí a 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles";"3.3. Per a 2030, posar fi a les epidèmies de la sida, tuberculosi, malària i les malalties tropicals desateses, i combatre l’hepatitis, les malalties transmeses per l’aigua i altres malalties transmissibles.";;
"3.4  ";3;"3.4. De aquí a 2030, reducir en un tercio la mortalidad prematura por enfermedades no transmisibles mediante su prevención y tratamiento, y promover la salud mental y el bienestar";"3.4. Per a 2030, reduir en un terç la mortalitat prematura per malalties no transmissibles, mitjançant la prevenció i el tractament, i promoure la salut mental i el benestar.";;
"3.5 ";3;"3.5. Fortalecer la prevención y el tratamiento del abuso de sustancias adictivas, incluido el uso indebido de estupefacientes y el consumo nocivo de alcohol";"3.5. Enfortir la prevenció i el tractament de l’abús de substàncies addictives, inclosos l’ús indegut d’estupefaents i el consum nociu d’alcohol.";;
"3.6 ";3;"3.6. De aquí a 2020, reducir a la mitad el número de muertes y lesiones causadas por accidentes de tráfico en el mundo";"3.6. Per a 2020, reduir a la meitat el nombre mundial de morts i lesions causats per accidents de trànsit.";;
"3.7 ";3;"3.7. De aquí a 2030, garantizar el acceso universal a los servicios de salud sexual y reproductiva, incluidos los de planificación familiar, información y educación, y la integración de la salud reproductiva en las estrategias y los programas nacionales";"3.7. Per a 2030, garantir l’accés universal als serveis de salut sexual i reproductiva, inclosos els de planificació familiar, informació i educació, així com la integració de la salut reproductiva a les estratègies i els programes nacionals.";;
"3.8 ";3;"3.8. Lograr la cobertura sanitaria universal, incluida la protección contra los riesgos financieros, el acceso a servicios de salud esenciales de calidad y el acceso a medicamentos y vacunas inocuos, eficaces, asequibles y de calidad para todos";"3.8. Assolir la cobertura sanitària universal, en particular la protecció contra els riscos financers, l’accés a serveis de salut essencials de qualitat i l’accés a medicaments i vacunes segurs, eficaços, assequibles i de qualitat per a totes les persones.";;
"3.9 ";3;"3.9. De aquí a 2030, reducir considerablemente el número de muertes y enfermedades causadas por productos químicos peligrosos y por la polución y contaminación del aire, el agua y el suelo";"3.9. Per a 2030, reduir substancialment el nombre de morts i malalties causats per productes químics perillosos i la pol·lució de l’aire, l’aigua i el sòl.";;
"3.a ";3;"3.a. Fortalecer la aplicación del Convenio Marco de la Organización Mundial de la Salud para el Control del Tabaco en todos los países, según proceda";"3.a. Enfortir a tots els països, segons escaigui, l’aplicació del Conveni marc de l’Organització Mundial de la Salut per al control del tabac.";;
"3.b ";3;"3.b. Apoyar las actividades de investigación y desarrollo de vacunas y medicamentos contra las enfermedades transmisibles y no transmisibles que afectan primordialmente a los países en desarrollo y facilitar el acceso a medicamentos y vacunas esenciales asequibles de conformidad con la Declaración relativa al Acuerdo sobre los Aspectos de los Derechos de Propiedad Intelectual Relacionados con el Comercio y la Salud Pública, en la que se afirma el derecho de los países en desarrollo a utilizar al máximo las disposiciones del Acuerdo sobre los Aspectos de los Derechos de Propiedad Intelectual Relacionados con el Comercio respecto a la flexibilidad para proteger la salud pública y, en particular, proporcionar acceso a los medicamentos para todos";"3.b. Donar suport a les activitats d’investigació i desenvolupament de vacunes i medicaments per a les malalties transmissibles i no transmissibles que afecten primordialment països en desenvolupament, i facilitar l’accés a medicaments i a vacunes essencials assequibles de conformitat amb la Declaració de Doha relativa a l’Acord sobre els aspectes dels drets de propietat intel·lectual relacionats amb el comerç (ADPIC) i la salut pública, en la qual s’afirma el dret dels països en desenvolupament a utilitzar al màxim les disposicions de l’ADPIC pel que fa a la flexibilitat per a protegir la salut pública, i en particular, proporcionar accés a medicaments per a totes les persones.";;
"3.c ";3;"3.c. Aumentar considerablemente la financiación de la salud y la contratación, el perfeccionamiento, la capacitación y la retención del personal sanitario en los países en desarrollo, especialmente en los países menos adelantados y los pequeños Estados insulares en desarrollo";"3.c. Incrementar substancialment el finançament de la salut i la contractació, el desenvolupament, la capacitació i la retenció del personal sanitari als països en desenvolupament, especialment als països menys avançats i als petits estats insulars en desenvolupament.";;
"3.d ";3;"3.d. Reforzar la capacidad de todos los países, en particular los países en desarrollo, en materia de alerta temprana, reducción de riesgos y gestión de los riesgos para la salud nacional y mundial";"3.d. Reforçar la capacitat de tots els països, en particular els països en desenvolupament, en matèria d’alerta primerenca, reducció de riscos i gestió dels riscos per a la salut nacional i mundial.";;
"3.1.1 ";3.1;"Tasa de mortalidad materna";;;
"3.1.2 ";3.1;"Proporción de partos atendidos por personal sanitario especializado";;;
"3.2.1 ";3.2;"Tasa de mortalidad de niños menores de 5 años";;;
"3.2.2 ";3.2;"Tasa de mortalidad neonatal";;;
"3.3.1 ";3.3;"Número de nuevas infecciones por el VIH por cada 1.000 habitantes no infectados, desglosado por sexo, edad y poblaciones clave";;;
"3.3.2 ";3.3;"Incidencia de la tuberculosis por cada 100.000 habitantes";;;
"3.3.3 ";3.3;"Incidencia de la malaria por cada 1.000 habitantes";;;
"3.3.4 ";3.3;"Incidencia de la hepatitis B por cada 100.000 habitantes";;;
"3.3.5 ";3.3;"Número de personas que requieren intervenciones contra enfermedades tropicales desatendidas";;;
"3.4.1 ";3.4;"Tasa de mortalidad atribuida a las enfermedades cardiovasculares, el cáncer, la diabetes o las enfermedades respiratorias crónicas";;;
"3.4.2 ";3.4;"Tasa de mortalidad por suicidio";;;
"3.5.1 ";3.5;"Cobertura de los tratamientos(farmacológicos y psicosociales y servicios de rehabilitación y postratamiento) de trastornos por abuso de sustancias adictivas";;;
"3.5.2 ";3.5;"Consumo nocivo de alcohol, definido según el contexto nacional como el consumo de alcohol per cápita (a partir de los 15 años de edad) durante un año civil en litros de alcohol puro";;;
"3.6.1 ";3.6;"Tasa de mortalidad por lesiones debidas a accidentes de tráfico";;;
"3.7.1 ";3.7;"Proporción de mujeres en edad de procrear (entre 15 y 49 años) que cubren sus necesidades de planificación familiar con métodos modernos";;;
"3.7.2 ";3.7;"Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años) por cada 1.000 mujeres de ese grupo de edad";;;
"3.8.1 ";3.8;"Cobertura de los servicios de salud esenciales (definida como la cobertura media de los servicios esenciales entre la población general y los más desfavorecidos, calculada a partir de intervenciones trazadoras como las relacionadas con la salud reproductiva, materna, neonatal e infantil, las enfermedades infecciosas, las enfermedades no transmisibles y la capacidad de los servicios y el acceso a ellos)";;;
"3.8.2 ";3.8;"Proporción de la población con grandes gastos sanitarios por hogar como porcentaje del total de gastos o ingresos de los hogares";;;
"3.9.1 ";3.9;"Tasa de mortalidad atribuida a la contaminación de los hogares y del aire ambiente";;;
"3.9.2 ";3.9;"Tasa de mortalidad atribuida al agua insalubre, el saneamiento deficiente y la falta de higiene (exposición a servicios insalubres de agua, saneamiento e higiene para todos (WASH))";;;
"3.9.3 ";3.9;"Tasa de mortalidad atribuida a intoxicaciones involuntarias";;;
"3.a.1 ";"3.a";"Prevalencia del consumo actual de tabaco a partir de los 15 años de edad (edades ajustadas)";;;
"3.b.1 ";"3.b";"Proporción de la población inmunizada con todas las vacunas incluidas en cada programa nacional";;;
"3.b.2 ";"3.b";"Total neto de asistencia oficial para el desarrollo destinado a los sectores de la investigación médica y la atención sanitaria básica";;;
"3.b.3 ";"3.b";"Proporción de centros de salud que disponen de un conjunto básico de medicamentos esenciales asequibles de manera sostenible";;;
"3.c.1 ";"3.c";"Densidad y distribución del personal sanitario";;;
"3.d.1 ";"3.d";"Capacidad prevista en el Reglamento Sanitario Internacional (RSI) y preparación para emergencias de salud";;;
"4.1 ";4;"4.1. De aquí a 2030, asegurar que todas las niñas y todos los niños terminen la enseñanza primaria y secundaria, que ha de ser gratuita, equitativa y de calidad y producir resultados de aprendizaje pertinentes y efectivos";"4.1. Per a 2030, vetllar perquè totes les nenes i nens acabin els cicles de l’ensenyament primari i secundari, que ha de ser gratuït, equitatiu i de qualitat i ha de produir resultats escolars pertinents i eficaços.";;
"4.2 ";4;"4.2. De aquí a 2030, asegurar que todas las niñas y todos los niños tengan acceso a servicios de atención y desarrollo en la primera infancia y educación preescolar de calidad, a fin de que estén preparados para la enseñanza primaria";"4.2. Per a 2030, vetllar perquè totes les nenes i nens tinguin accés a serveis d’atenció i desenvolupament en la primera infantesa, i a un ensenyament preescolar de qualitat, a fi que estiguin preparats per a l’ensenyament primari.";;
"4.3 ";4;"4.3. De aquí a 2030, asegurar el acceso igualitario de todos los hombres y las mujeres a una formación técnica, profesional y superior de calidad, incluida la enseñanza universitaria";"4.3. Per a 2030, assegurar l’accés en condicions d’igualtat per a tots els homes i dones a una formació tècnica, professional i superior de qualitat, inclòs l’ensenyament universitari.";;
"4.4 ";4;"4.4. De aquí a 2030, aumentar considerablemente el número de jóvenes y adultos que tienen las competencias necesarias, en particular técnicas y profesionales, para acceder al empleo, el trabajo decente y el emprendimiento";"4.4. Per a 2030, augmentar substancialment el nombre de joves i persones adultes que tenen les competències necessàries, en particular tècniques i professionals, per a accedir a l’ocupació, el treball digne i l’emprenedoria.";;
"4.5 ";4;"4.5. De aquí a 2030, eliminar las disparidades de género en la educación y asegurar el acceso igualitario a todos los niveles de la enseñanza y la formación profesional para las personas vulnerables, incluidas las personas con discapacidad, los pueblos indígenas y los niños en situaciones de vulnerabilidad";"4.5. Per a 2030, eliminar les disparitats de gènere en l’educació i garantir l’accés en condicions d’igualtat a les persones vulnerables, incloses les persones amb discapacitat, els pobles indígenes i els nens i nenes en situacions de vulnerabilitat, a tots els nivells de l’ensenyament i la formació professional.";;
"4.6 ";4;"4.6. De aquí a 2030, asegurar que todos los jóvenes y una proporción considerable de los adultos, tanto hombres como mujeres, estén alfabetizados y tengan nociones elementales de aritmética";"4.6. Per a 2030, garantir que tot el jovent i almenys una proporció substancial d’adults, tant homes com dones, tinguin competències de lectura, escriptura i aritmètica.";;
"4.7 ";4;"4.7. De aquí a 2030, asegurar que todos los alumnos adquieran los conocimientos teóricos y prácticos necesarios para promover el desarrollo sostenible, entre otras cosas mediante la educación para el desarrollo sostenible y los estilos de vida sostenibles, los derechos humanos, la igualdad de género, la promoción de una cultura de paz y no violencia, la ciudadanía mundial y la valoración de la diversidad cultural y la contribución de la cultura al desarrollo sostenible";"4.7. Per a 2030, garantir que tot l’alumnat adquireixi els coneixements teòrics i pràctics necessaris per a promoure el desenvolupament sostenible, a través, entre d’altres, de l’educació per al desenvolupament sostenible i l’adopció d’estils de vida sostenibles, els drets humans, la igualtat de gènere, la promoció d’una cultura de pau i no-violència, la ciutadania mundial i la valoració de la diversitat cultural i de la contribució de la cultura al desenvolupament sostenible.";;
"4.a ";4;"4.a. Construir y adecuar instalaciones educativas que tengan en cuenta las necesidades de los niños y las personas con discapacidad y las diferencias de género, y que ofrezcan entornos de aprendizaje seguros, no violentos, inclusivos y eficaces para todos";"4.a. Construir i adequar instal·lacions escolars que responguin a les necessitats dels infants i les persones discapacitades, tinguin en compte les qüestions de gènere, i ofereixin entorns d’aprenentatge segurs, no violents, inclusius i eficaços per a totes les persones.";;
